"product_id","total_orders","total_qty","total_sales","total_discount","total_profit"
"TEC-CO-10004722","5","20","61599.824","0.6000000000000001","25199.928"
"OFF-BI-10003527","10","31","27453.384","2.4000000000000004","7753.038999999999"
"TEC-MA-10002412","1","6","22638.48","0.5","-1811.0784"
"FUR-CH-10002024","8","39","21870.575999999997","1.5999999999999999","1.1368683772161603e-13"
"OFF-BI-10001359","11","37","19823.479","3.3","2233.5051000000003"
"OFF-BI-10000545","9","48","19024.5","4.7","760.9799999999998"
"TEC-CO-10001449","8","38","18839.686","1.5999999999999999","6983.8836"
"TEC-MA-10001127","3","12","18374.895","0.5","4094.9766"
"OFF-BI-10004995","6","27","17965.068","2.7","-1878.1662000000006"
"OFF-SU-10000151","3","11","17030.311999999998","0.2","-262.00480000000005"
"TEC-MA-10000822","4","18","16829.900999999998","1.6","-4589.973"
"OFF-SU-10002881","6","22","16656.199999999997","0.6000000000000001","-1299.1836"
"OFF-BI-10001120","3","13","15875.916","1","3345.2822999999994"
"FUR-BO-10004834","5","24","15610.9656","1.17","-669.5448000000001"
"TEC-MA-10001047","2","11","14299.89","0","3717.9714000000004"
"TEC-PH-10001459","6","39","13943.668000000001","0.8","1822.7566000000002"
"TEC-AC-10002049","15","60","13756.535999999996","0.6000000000000001","4425.343199999999"
"TEC-PH-10002885","6","24","12996.6","1.2000000000000002","1611.5784"
"FUR-TA-10003473","12","46","12995.291500000003","2.95","-327.2330999999999"
"FUR-CH-10001215","9","32","12975.381999999998","1.8","951.862"
"FUR-BO-10002213","10","42","12921.643","1.5999999999999999","19.686399999999995"
"TEC-CO-10003763","4","19","11619.834","0.6000000000000001","4570.9347"
"FUR-CH-10004287","13","53","11572.78","2.5999999999999996","1179.374"
"OFF-AP-10002945","8","40","11304.439999999999","0.4","3247.0199999999995"
"TEC-AC-10003832","18","75","11203.756000000003","1.4","1987.9253000000003"
"TEC-MA-10000418","3","9","11099.963","1.5999999999999999","-8879.9704"
"OFF-ST-10000078","11","43","10925.004","0.6000000000000001","1575.1098"
"TEC-AC-10003033","10","35","10822.359999999999","0.8","3085.0325"
"FUR-CH-10000454","12","51","10637.528","1.7000000000000002","1927.442"
"FUR-TA-10000198","5","27","9917.64","1.4","-2876.1156"
"OFF-ST-10003716","12","47","9630.856","1.2","429.78819999999996"
"FUR-TA-10001889","7","33","9544.724999999999","2.4499999999999997","-1934.3975999999998"
"TEC-MA-10000488","4","14","9279.884","0.8","1327.9834"
"OFF-ST-10004459","8","28","9158.296","0.6000000000000001","-825.7479999999999"
"FUR-CH-10003973","8","31","9070.944000000001","1.8","773.2607999999999"
"TEC-CO-10001046","5","16","8959.872000000001","1","2799.96"
"TEC-CO-10002095","7","21","8899.822","1","3124.9375000000005"
"TEC-PH-10001817","10","32","8878.4","2.2","515.52"
"FUR-CH-10001854","8","28","8774.5","0.8","1305.6456"
"FUR-CH-10004063","8","35","8665.194","1.5","1558.591"
"FUR-CH-10004086","8","34","8430.997000000001","1.5","1388.6348"
"FUR-TA-10001095","13","61","8209.059","3.3500000000000005","-189.97609999999997"
"OFF-ST-10001490","13","49","8138.232","1","2016.7109999999998"
"TEC-PH-10001530","9","34","8111.136","2","275.3286"
"OFF-BI-10003925","6","27","8070.192","1.4000000000000001","2518.0551000000005"
"TEC-MA-10004125","1","4","7999.98","0.5","-3839.9904"
"OFF-BI-10004600","8","28","7985.383","1.3","2318.337"
"FUR-CH-10003379","9","33","7979.439999999999","1.5","926.1850000000001"
"TEC-MA-10000984","2","7","7834.4","0.4","881.37"
"OFF-ST-10003208","11","45","7730.196000000002","0.8","1932.549"
"TEC-MA-10003979","2","11","7699.89","0","3772.9461"
"TEC-PH-10004165","9","34","7699.719999999999","1.5999999999999999","780.9715999999999"
"FUR-CH-10002331","6","24","7582.374","0.8","832.9932"
"FUR-BO-10002545","8","35","7539.712200000001","1.47","780.3302000000001"
"OFF-ST-10001780","5","13","7515.523999999999","0.6000000000000001","1114.3708"
"TEC-PH-10002200","8","30","7437.886","1.6","353.7884000000001"
"FUR-TA-10003954","5","30","7404.5","0.8","-681.2139999999999"
"TEC-AC-10004145","5","31","7399.704","0.2","1432.4427"
"FUR-TA-10000577","8","29","7242.768000000001","2.0999999999999996","-532.7613"
"TEC-PH-10000560","6","28","7139.796","1.2000000000000002","83.99760000000003"
"TEC-MA-10000045","2","6","6965.700000000001","0","3343.536"
"FUR-TA-10002958","8","36","6942.068000000001","2.2","-856.0144"
"FUR-CH-10002335","9","34","6936.102","1","1233.0847999999999"
"TEC-PH-10001795","5","16","6935.862000000001","0.8","1056.3827"
"OFF-AP-10002651","6","31","6832.908","1","460.35269999999986"
"OFF-ST-10003470","6","25","6819.312","0.2","181.662"
"OFF-BI-10003650","8","23","6785.142","3.3","494.4212000000001"
"FUR-TA-10003569","6","21","6776.562","1.1","461.12700000000007"
"FUR-CH-10004997","10","43","6748.481999999999","1.6","281.96999999999997"
"OFF-ST-10001496","10","40","6594.954000000001","0.6000000000000001","1261.33"
"FUR-CH-10000015","6","36","6584.639999999999","0.8","814.416"
"OFF-ST-10002615","9","43","6574.544","0.2","1640.5348000000001"
"FUR-TA-10001950","4","19","6518.754000000001","0.8","-1201.0580999999997"
"FUR-CH-10002320","4","22","6483.796","0.4","1540.7040000000002"
"FUR-CH-10004495","8","26","6410.874","1.4","854.7832000000001"
"TEC-CO-10004115","4","17","6399.872","1","2064.9587"
"TEC-PH-10000895","8","40","6227.654","1.2","899.9499999999999"
"TEC-PH-10002584","5","13","6134.701999999999","1","438.193"
"TEC-PH-10002624","5","15","6109.87","0.6000000000000001","1104.4765"
"FUR-CH-10000309","5","17","6084.143999999999","0.8","697.1415"
"FUR-CH-10000785","11","39","6008.536000000001","1.5000000000000002","785.4532"
"TEC-CO-10002313","4","11","5999.9","0.2","1973.9670999999998"
"FUR-CH-10002965","10","39","5989.204000000001","2.4999999999999996","267.3034"
"FUR-TA-10004575","7","26","5965.09","1.5","-238.6036"
"OFF-AP-10000275","3","18","5906.5199999999995","0","1653.8256"
"FUR-CH-10003746","7","21","5906.032","1","1052.8143999999998"
"FUR-CH-10001394","7","21","5861.533","1.3","701.9800000000001"
"FUR-TA-10004915","5","23","5801.816","0.8999999999999999","-66.82720000000006"
"TEC-MA-10004002","3","14","5787.3550000000005","0.9","509.712"
"OFF-ST-10001526","8","49","5751.773999999999","0.2","1388.6082"
"FUR-CH-10000595","8","27","5697.759999999999","1","870.16"
"TEC-CO-10001766","3","15","5669.874","0.6000000000000001","2092.4535"
"FUR-TA-10004256","4","17","5634.9","0.9","-964.1940000000001"
"TEC-AC-10003870","4","17","5609.83","0","2243.9320000000002"
"OFF-ST-10000142","5","14","5572.792","0.4","1380.7216"
"OFF-BI-10004632","14","45","5535.592999999999","4.8999999999999995","-246.06750000000005"
"FUR-BO-10001811","8","26","5492.885","2.5300000000000002","15.048999999999978"
"FUR-CH-10002880","14","54","5436.157999999999","2.6","-474.7414"
"FUR-CH-10002073","4","22","5427.990000000001","0.30000000000000004","1292.1264"
"TEC-PH-10004586","6","17","5327.259999999999","1","1043.855"
